                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.72374,                0.77836,                 1.1744,                0.90754,                0.82353,                0.88581,                0.68712,                0.79292,                0.70526,                 1.3702,               0.008317,               0.008317,               0.008317
                     36,                 0.7408,                 0.7802,                  1.193,                0.91507,                0.81294,                0.88301,                0.68922,                0.78646,                0.73084,                 1.3648,              0.0082675,              0.0082675,              0.0082675
                     37,                0.73596,                0.78471,                 1.1886,                0.89427,                0.82235,                0.87726,                0.67293,                0.78898,                 0.7765,                 1.3706,               0.008218,               0.008218,               0.008218
                     38,                0.72608,                0.77053,                 1.1777,                0.90123,                0.81176,                 0.8766,                0.69984,                0.74303,                0.70556,                 1.3272,              0.0081685,              0.0081685,              0.0081685
                     39,                0.72463,                0.77481,                 1.1755,                0.91918,                0.80285,                 0.8883,                0.70718,                0.73398,                0.67685,                 1.3221,               0.008119,               0.008119,               0.008119
                     40,                0.72203,                0.76599,                 1.1764,                0.90935,                    0.8,                0.87572,                0.68961,                0.75877,                0.69434,                 1.3682,              0.0080695,              0.0080695,              0.0080695
                     41,                0.71585,                0.75729,                 1.1685,                0.91245,                0.82155,                0.88461,                0.70368,                0.75994,                0.68921,                 1.3419,                0.00802,                0.00802,                0.00802
                     42,                0.71471,                0.75104,                 1.1701,                 0.9034,                0.80471,                0.88038,                 0.6999,                0.77042,                0.68492,                 1.3634,              0.0079705,              0.0079705,              0.0079705
                     43,                0.71245,                0.74737,                  1.161,                0.90002,                0.82706,                0.89183,                0.71126,                 0.7403,                0.66653,                 1.3317,               0.007921,               0.007921,               0.007921
                     44,                0.69903,                0.74827,                 1.1583,                0.94196,                0.80186,                0.88741,                0.70621,                 0.7532,                 0.6594,                 1.3408,              0.0078715,              0.0078715,              0.0078715
                     45,                0.69878,                0.74199,                 1.1581,                0.92361,                0.82505,                0.88694,                0.70056,                0.76054,                0.67236,                 1.3557,               0.007822,               0.007822,               0.007822
                     46,                0.70331,                0.74628,                 1.1654,                0.91531,                0.80107,                0.89297,                0.72144,                0.71143,                0.66195,                 1.2849,              0.0077725,              0.0077725,              0.0077725
                     47,                0.68514,                0.72602,                   1.15,                0.91016,                0.79859,                0.89068,                0.71362,                0.73354,                0.67259,                 1.3123,               0.007723,               0.007723,               0.007723
                     48,                0.69027,                 0.7151,                 1.1493,                0.91469,                0.81059,                0.88057,                0.69076,                0.76208,                0.68975,                 1.3558,              0.0076735,              0.0076735,              0.0076735
                     49,                0.68231,                0.71949,                 1.1518,                0.93651,                0.81765,                0.88252,                0.70869,                0.74724,                0.66328,                 1.3271,               0.007624,               0.007624,               0.007624
                     50,                0.68869,                0.71772,                 1.1546,                0.88222,                0.82834,                0.88555,                0.70456,                0.75252,                0.69033,                 1.3239,              0.0075745,              0.0075745,              0.0075745
