                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    147,                0.48356,                0.47361,                 1.0137,                 0.9169,                0.84372,                0.90638,                0.78671,                0.58725,                0.50239,                 1.2051,               0.002773,               0.002773,               0.002773
                    148,                0.48937,                0.47323,                 1.0175,                0.93995,                   0.82,                0.90427,                0.78181,                0.58617,                0.50595,                 1.2091,              0.0027235,              0.0027235,              0.0027235
                    149,                0.50632,                0.48946,                 1.0297,                0.91368,                0.84118,                0.90602,                 0.7772,                0.59438,                0.50465,                 1.2197,               0.002674,               0.002674,               0.002674
                    150,                0.49551,                0.48493,                 1.0222,                0.90415,                 0.8545,                0.90727,                0.77883,                0.59074,                0.51243,                 1.2058,              0.0026245,              0.0026245,              0.0026245
                    151,                0.49228,                0.47677,                 1.0202,                0.92433,                0.83059,                0.90483,                0.78217,                0.58293,                0.51815,                  1.201,               0.002575,               0.002575,               0.002575
                    152,                 0.4872,                0.47214,                 1.0174,                0.92932,                0.83176,                0.90378,                0.78079,                0.58353,                0.52384,                 1.2045,              0.0025255,              0.0025255,              0.0025255
                    153,                0.48597,                0.47589,                 1.0142,                0.89736,                0.85372,                0.90418,                0.77574,                0.59854,                0.51845,                 1.2215,               0.002476,               0.002476,               0.002476
                    154,                0.48187,                 0.4669,                 1.0107,                0.90738,                0.84471,                 0.9022,                0.77981,                0.58933,                 0.5155,                 1.2051,              0.0024265,              0.0024265,              0.0024265
                    155,                0.48543,                 0.4636,                 1.0133,                0.93602,                0.84336,                 0.9068,                 0.7778,                0.59205,                0.50488,                 1.2195,               0.002377,               0.002377,               0.002377
                    156,                0.48163,                0.46506,                  1.011,                 0.8912,                0.86727,                0.90364,                0.77625,                 0.5852,                0.50521,                 1.2097,              0.0023275,              0.0023275,              0.0023275
                    157,                0.49202,                0.47454,                 1.0248,                0.93158,                0.83298,                0.89863,                0.77843,                0.57784,                0.51164,                 1.1995,               0.002278,               0.002278,               0.002278
                    158,                0.48123,                0.47196,                 1.0144,                0.92522,                0.84429,                0.90568,                0.78466,                0.58086,                0.50838,                 1.2044,              0.0022285,              0.0022285,              0.0022285
                    159,                0.47486,                0.46566,                 1.0084,                0.92295,                0.84554,                0.90437,                0.78438,                0.57256,                0.50299,                 1.1924,               0.002179,               0.002179,               0.002179
                    160,                 0.4864,                0.46531,                 1.0152,                0.90515,                0.85322,                0.90698,                0.78274,                0.58107,                 0.4987,                 1.1982,              0.0021295,              0.0021295,              0.0021295
                    161,                0.48306,                0.46158,                 1.0115,                0.88264,                0.86706,                0.90321,                0.78008,                0.57722,                0.49967,                  1.197,                0.00208,                0.00208,                0.00208
                    162,                0.46867,                0.44923,                 1.0038,                0.91387,                0.85529,                0.90809,                0.78215,                0.57884,                0.50602,                 1.2003,              0.0020305,              0.0020305,              0.0020305
                    163,                0.46395,                0.44999,                 1.0045,                0.92309,                0.84588,                 0.9049,                0.78054,                0.57886,                0.50366,                 1.2092,               0.001981,               0.001981,               0.001981
                    164,                0.47057,                0.44816,                 1.0051,                0.91756,                0.85059,                0.90357,                0.78292,                0.57669,                0.51096,                 1.2042,              0.0019315,              0.0019315,              0.0019315
                    165,                0.45843,                0.44242,                0.99977,                0.91301,                0.84588,                0.90629,                0.78238,                0.58046,                0.50179,                 1.2075,               0.001882,               0.001882,               0.001882
                    166,                0.46618,                0.44544,                 1.0044,                0.92225,                0.84588,                0.90539,                0.78189,                 0.5802,                0.50494,                 1.2097,              0.0018325,              0.0018325,              0.0018325
                    167,                0.46382,                0.45145,                  1.001,                0.90955,                0.85179,                0.90277,                0.77956,                 0.5848,                0.51153,                 1.2134,               0.001783,               0.001783,               0.001783
                    168,                0.46813,                0.44776,                 1.0042,                0.90799,                0.84754,                0.90418,                0.77911,                0.57796,                0.51289,                 1.2043,              0.0017335,              0.0017335,              0.0017335
                    169,                0.46522,                0.43583,                 1.0028,                0.91998,                0.83647,                0.90476,                0.77718,                0.58105,                0.51759,                  1.211,               0.001684,               0.001684,               0.001684
                    170,                0.46442,                 0.4353,                 1.0027,                0.89942,                0.85213,                0.90437,                0.77916,                0.58321,                0.50694,                 1.2093,              0.0016345,              0.0016345,              0.0016345
                    171,                0.46082,                0.44235,                 1.0002,                0.92504,                0.84207,                0.90286,                0.77769,                0.58507,                0.50883,                 1.2126,               0.001585,               0.001585,               0.001585
                    172,                0.45346,                0.42926,                0.99601,                0.91666,                0.84111,                0.90111,                0.77863,                0.58752,                0.51079,                 1.2126,              0.0015355,              0.0015355,              0.0015355
                    173,                0.45935,                0.43394,                 1.0001,                0.91195,                   0.84,                0.90179,                 0.7786,                0.58479,                0.50756,                 1.2089,               0.001486,               0.001486,               0.001486
                    174,                0.45543,                0.44357,                0.99454,                0.89587,                0.85882,                0.90042,                0.77567,                0.58592,                0.50448,                 1.2094,              0.0014365,              0.0014365,              0.0014365
                    175,                0.45486,                0.43025,                0.99851,                0.90229,                0.85176,                0.89815,                 0.7739,                 0.5936,                0.50124,                 1.2223,               0.001387,               0.001387,               0.001387
                    176,                0.44784,                0.43082,                0.99522,                0.91544,                0.84353,                0.90095,                0.77704,                0.59192,                0.49784,                 1.2195,              0.0013375,              0.0013375,              0.0013375
                    177,                0.45699,                0.43512,                0.99944,                0.89941,                0.85206,                0.90251,                0.77633,                0.58872,                0.50777,                 1.2146,               0.001288,               0.001288,               0.001288
                    178,                0.45849,                0.43415,                 1.0015,                0.91482,                0.84655,                0.90309,                0.77864,                0.58988,                0.51459,                  1.213,              0.0012385,              0.0012385,              0.0012385
                    179,                0.44958,                0.41496,                0.99681,                0.91827,                 0.8459,                0.90383,                 0.7807,                0.58696,                0.51218,                 1.2125,               0.001189,               0.001189,               0.001189
                    180,                0.45179,                0.42617,                0.99502,                 0.9112,                 0.8571,                 0.9045,                0.77767,                0.58891,                0.51204,                 1.2199,              0.0011395,              0.0011395,              0.0011395
                    181,                0.46249,                0.43425,                0.99935,                0.90179,                0.85344,                0.89818,                0.77449,                0.58663,                0.51461,                 1.2178,                0.00109,                0.00109,                0.00109
                    182,                 0.4491,                0.42772,                0.99241,                0.93108,                0.82706,                0.89955,                0.77528,                0.58718,                0.51288,                 1.2174,              0.0010405,              0.0010405,              0.0010405
                    183,                0.45299,                 0.4308,                 1.0004,                0.92115,                0.83843,                0.89871,                0.77563,                 0.5873,                0.50823,                 1.2179,               0.000991,               0.000991,               0.000991
                    184,                0.45063,                0.41969,                0.99243,                0.91624,                0.84471,                0.89768,                0.77483,                0.58531,                0.50771,                 1.2184,              0.0009415,              0.0009415,              0.0009415
                    185,                0.44669,                0.42083,                0.99444,                0.92246,                0.83972,                0.89596,                0.77331,                 0.5801,                0.50988,                 1.2127,               0.000892,               0.000892,               0.000892
                    186,                0.44713,                0.41591,                0.99225,                0.92191,                0.84118,                0.89832,                 0.7785,                0.57433,                0.50656,                 1.2072,              0.0008425,              0.0008425,              0.0008425
                    187,                0.45264,                0.43392,                0.99998,                0.90169,                0.85241,                0.89769,                0.77853,                0.57395,                0.49981,                 1.2063,               0.000793,               0.000793,               0.000793
                    188,                 0.4383,                 0.4203,                0.98624,                0.92596,                0.83412,                0.89778,                0.77678,                0.57548,                0.50015,                 1.2097,              0.0007435,              0.0007435,              0.0007435
                    189,                0.43559,                0.41132,                0.98289,                0.92684,                 0.8346,                0.89737,                0.77569,                0.57611,                0.50255,                 1.2099,               0.000694,               0.000694,               0.000694
                    190,                0.43754,                0.41208,                0.98686,                0.93174,                0.83294,                  0.897,                0.77513,                0.57649,                0.50326,                 1.2118,              0.0006445,              0.0006445,              0.0006445
                    191,                 0.4401,                0.42079,                0.98681,                0.92256,                   0.84,                0.89974,                0.77681,                0.57814,                 0.5013,                  1.214,               0.000595,               0.000595,               0.000595
                    192,                0.43463,                0.41953,                0.98699,                0.92038,                0.84315,                0.89953,                0.77655,                0.57833,                0.50357,                 1.2104,              0.0005455,              0.0005455,              0.0005455
                    193,                0.43694,                0.41441,                0.98206,                0.91946,                0.84471,                 0.8991,                0.77384,                0.57867,                0.50366,                 1.2131,               0.000496,               0.000496,               0.000496
                    194,                0.43815,                0.40316,                0.99116,                0.92116,                   0.84,                0.89752,                 0.7747,                 0.5788,                0.50377,                  1.215,              0.0004465,              0.0004465,              0.0004465
                    195,                 0.4328,                0.40618,                0.98023,                0.93485,                0.82941,                0.89906,                0.77661,                0.57974,                0.50551,                  1.217,               0.000397,               0.000397,               0.000397
                    196,                0.43522,                0.41143,                0.98586,                0.92577,                   0.84,                0.89669,                0.77545,                0.57865,                0.50751,                 1.2159,              0.0003475,              0.0003475,              0.0003475
                    197,                 0.4317,                0.40994,                0.98301,                0.91793,                 0.8421,                0.89649,                 0.7756,                0.57749,                0.51001,                 1.2135,               0.000298,               0.000298,               0.000298
